Trmt,Rep,Fam,Tank,Origin,Chla,Chlc,TChl,Vol,SA(mm2),Tchla,PerArea
Control,1,5,C1,Inshore,3.913961267,1.120848033,5.343287,10.25,929,40.11810298,4.318417975
Control,2,5,C2,Inshore,2.389941733,1.955855733,5.3229358,9.5,2052.333333,22.70444647,1.106274799
Control,3,5,C3,Inshore,3.410863867,1.088123433,4.7044921,11,1485.666667,37.51950253,2.525432075
Heat,1,5,H1,Inshore,2.866514933,1.9242462,6.0416058,11.5,1335.666667,32.96492173,2.468050042
Heat,2,5,H2,Inshore,0.715931667,0.234715167,1.057399467,10.75,1152.333333,7.696265417,0.667885341
Heat,3,5,H3,Inshore,2.757418267,0.8203811,3.7455242,10.75,1279,29.64224637,2.317611131
Control,1,11,C1,Inshore,5.912734067,1.783217033,8.060168567,11,2492.333333,65.04007473,2.60960578
Control,2,11,C2,Inshore,5.4354314,1.766376167,7.388932667,10.25,1922.333333,55.71317185,2.898205576
Control,3,11,C3,Inshore,5.670446133,1.899497033,7.7805143,11.5,2221.333333,65.21013053,2.935630126
Heat,1,11,H1,Inshore,1.6784502,0.432648233,2.3782639,10.5,2205.666667,17.6237271,0.799020422
Heat,2,11,H2,Inshore,0.3672904,0.169168267,0.641935983,10,2605.666667,3.672904,0.140958322
Heat,3,11,H3,Inshore,0.508166533,0.160566033,0.7743423,10.75,1589,5.462790233,0.343787932
Control,1,17,C1,Inshore,3.405985667,1.0713131,4.6173828,10.75,862.3333333,36.61434592,4.245962031
Control,2,17,C2,Inshore,2.531750467,0.8792566,3.620755267,10.25,750.3333333,25.95044228,3.45852185
Control,3,17,C3,Inshore,4.485622,2.617814633,8.356897967,8.5,629,38.127787,6.061651351
Heat,1,17,H1,Inshore,2.439171333,2.169121933,6.386174933,11.75,629,28.66026317,4.556480631
Heat,2,17,H2,Inshore,4.2835478,5.432239817,14.37876893,10,722.3333333,42.835478,5.930153853
Heat,3,17,H3,Inshore,1.124915467,0.411896467,1.709148133,11,830.3333333,12.37407013,1.490253328
Control,1,19,C1,Inshore,8.362123533,2.8633611,11.54823263,10,1599,83.62123533,5.229595706
Control,2,19,C2,Inshore,6.475212867,2.231173667,9.1111038,11,1765.666667,71.22734153,4.03401972
Control,3,19,C3,Inshore,5.261741333,1.9099659,7.597958,11.25,1599,59.19459,3.70197561
Heat,1,19,H1,Inshore,4.531862333,1.415918767,6.182889967,10.5,1230.333333,47.5845545,3.867614833
Heat,2,19,H2,Inshore,0.8038346,0.275987767,1.134495933,10,1102.333333,8.038346,0.729211914
Heat,3,19,H3,Inshore,2.309852333,0.726732633,3.1686967,9.75,1199,22.52106025,1.878320288
Control,1,20,C1,Inshore,3.856620733,1.2354629,5.262251767,10,870.3333333,38.56620733,4.431199617
Control,2,20,C2,Inshore,2.452686333,0.754425967,3.351916567,10.5,865.6666667,25.7532065,2.974956469
Control,3,20,C3,Inshore,5.501597467,1.6412031,7.5772161,10.75,1537,59.14217277,3.847896732
Heat,1,20,H1,Inshore,2.8543009,2.126204233,6.261747667,7.5,775.6666667,21.40725675,2.759852611
Heat,2,20,H2,Inshore,1.879528067,0.543678033,2.555143933,11,942.3333333,20.67480873,2.194001634
Heat,3,20,H3,Inshore,2.1726576,0.664340367,2.943663833,11,953.6666667,23.8992336,2.506036379
Control,1,32,C1,Offshore,2.013021667,0.682873233,2.837779533,10,1273.666667,20.13021667,1.580493326
Control,2,32,C2,Offshore,1.6709848,0.559508,2.31263,9.5,1067,15.8743556,1.487755914
Control,3,32,C3,Offshore,2.422532933,2.026820833,5.6699716,7,602.3333333,16.95773053,2.815339878
Heat,1,32,H1,Offshore,1.206040267,0.371127867,1.624270033,10,1742.333333,12.06040267,0.692198355
Heat,2,32,H2,Offshore,0.686712333,0.2335991,1.014573467,10.5,775.6666667,7.2104795,0.929584809
Heat,3,32,H3,Offshore,0.928251133,0.310983967,1.3388522,9.75,1275.666667,9.05044855,0.709468138
Heat,4,32,H2,Offshore,0.836969667,0.349694967,1.278949033,9.5,1429,7.951211833,0.556417903
Control,1,34,C1,Offshore,8.0377852,2.342274533,10.77153143,10,1059,80.377852,7.589976582
Control,2,34,C2,Offshore,6.195062133,3.927676533,12.2313943,10,1279,61.95062133,4.843676414
Control,3,34,C3,Offshore,3.428309,2.6041238,7.447128033,9,1065.666667,30.854781,2.895350109
Heat,1,34,H1,Offshore,3.396562267,1.1522359,4.812536933,10.5,992.3333333,35.6639038,3.59394395
Heat,2,34,H2,Offshore,3.7326038,2.509613433,7.714555933,10,1162.333333,37.326038,3.211302381
Heat,3,34,H3,Offshore,5.1841268,1.536235033,7.2329795,10.25,1383.666667,53.1372997,3.8403252
Control,1,38,C1,Offshore,4.919981,1.7245654,6.939938733,10.5,1210.333333,51.6598005,4.268229179
Control,2,38,C2,Offshore,6.82508,2.261545733,9.3665686,10.5,1468,71.66334,4.88169891
Control,3,38,C3,Offshore,1.386916467,0.819689933,2.3869493,11.5,1775.666667,15.94953937,0.898228235
Heat,1,38,H1,Offshore,0.642522533,0.2518712,1.049819433,9.5,1455.666667,6.103964067,0.4193243
Heat,2,38,H2,Offshore,1.180861667,0.484585133,1.9156267,11.5,1375.666667,13.57990917,0.987151139
Heat,3,38,H3,Offshore,1.0190638,0.438432567,1.6978796,10.75,1069,10.95493585,1.024783522
Control,1,39,C1,Offshore,1.1800612,0.321045833,1.6306856,10.5,920.3333333,12.3906426,1.346321181
Control,2,39,C2,Offshore,1.064999533,0.339723367,1.5008621,10.5,1522.333333,11.1824951,0.734562849
Control,3,39,C3,Offshore,0.421977933,0.138816,0.6169625,10.5,812.3333333,4.4307683,0.545437214
Heat,1,39,H1,Offshore,0.454220333,0.145217467,0.635369667,10.5,2261.333333,4.7693135,0.210907142
Heat,2,39,H2,Offshore,0.310801733,0.1148889,0.4555617,10,835.6666667,3.108017333,0.371920702
Heat,3,39,H3,Offshore,0.920327467,0.262035267,1.294493167,11,1992.333333,10.12360213,0.50812793
Control,1,46,C1,Offshore,10.34198787,2.9923433,13.57225897,10.75,1199,111.1763696,9.272424484
Control,2,46,C2,Offshore,7.1722044,2.259127133,9.900952,10.5,2385.666667,75.3081462,3.15669189
Control,3,46,C3,Offshore,4.802498467,3.281008167,10.07853793,9.5,1389,45.62373543,3.28464618
Heat,1,46,H1,Offshore,1.7923322,0.524002867,2.4489448,10.5,2192.333333,18.8194881,0.85842275
Heat,2,46,H2,Offshore,2.026578,0.6202902,2.8179129,10,2325.666667,20.26578,0.871396589
Heat,3,46,H3,Offshore,5.0406438,1.467650367,6.743209,9.5,2421.333333,47.8861161,1.9776755