Trmt,Rep,Fam,Tank,Origin,Conc,Vol,SA,Total,PerArea
Control,1,5,C1,Inshore,123.25,10.25,929,1263.3125,135.9862756
Control,2,5,C2,Inshore,180,9.5,2052.333333,1710,83.3197986
Control,3,5,C3,Inshore,186.6666667,11,1485.666667,2053.333333,138.209558
Heat,1,5,H1,Inshore,115.75,11.5,1335.666667,1331.125,99.65997003
Heat,2,5,H2,Inshore,84.5,10.75,1152.333333,908.375,78.82918716
Heat,3,5,H3,Inshore,143.3333333,10.75,1279,1540.833333,120.4717227
Control,1,11,C1,Inshore,239.5,11,2492.333333,2634.5,105.7041594
Control,2,11,C2,Inshore,161.6666667,10.25,1922.333333,1657.083333,86.20166464
Control,3,11,C3,Inshore,192,11.5,2221.333333,2208,99.39975992
Heat,1,11,H1,Inshore,195.75,10.5,2205.666667,2055.375,93.18611153
Heat,2,11,H2,Inshore,139.5,10,2605.666667,1395,53.53716259
Heat,3,11,H3,Inshore,130,10.75,1589,1397.5,87.94839522
Control,1,17,C1,Inshore,105.75,10.75,862.3333333,1136.8125,131.8298222
Control,2,17,C2,Inshore,83.33333333,10.25,750.3333333,854.1666667,113.8382941
Control,3,17,C3,Inshore,108.3333333,8.5,629,920.8333333,146.3963964
Heat,1,17,H1,Inshore,92,11.75,629,1081,171.8600954
Heat,2,17,H2,Inshore,95.75,10,722.3333333,957.5,132.5565298
Heat,3,17,H3,Inshore,85,11,830.3333333,935,112.6053794
Control,1,19,C1,Inshore,243.3333333,10,1599,2433.333333,152.1784449
Control,2,19,C2,Inshore,180,11,1765.666667,1980,112.1389466
Control,3,19,C3,Inshore,133.25,11.25,1599,1499.0625,93.75
Heat,1,19,H1,Inshore,123.25,10.5,1230.333333,1294.125,105.1849092
Heat,2,19,H2,Inshore,109.5,10,1102.333333,1095,99.33474448
Heat,3,19,H3,Inshore,171.6666667,9.75,1199,1673.75,139.5954962
Control,1,20,C1,Inshore,130.75,10,870.3333333,1307.5,150.229797
Control,2,20,C2,Inshore,98.25,10.5,865.6666667,1031.625,119.171159
Control,3,20,C3,Inshore,147,10.75,1537,1580.25,102.8139232
Heat,1,20,H1,Inshore,125.75,7.5,775.6666667,943.125,121.5889557
Heat,2,20,H2,Inshore,125,11,942.3333333,1375,145.9143969
Heat,3,20,H3,Inshore,165,11,953.6666667,1815,190.3180706
Control,1,32,C1,Offshore,150.75,10,1273.666667,1507.5,118.3590683
Control,2,32,C2,Offshore,180,9.5,1067,1710,160.262418
Control,3,32,C3,Offshore,142,7,602.3333333,994,165.0249032
Heat,1,32,H1,Offshore,103.3333333,10,1742.333333,1033.333333,59.30744213
Heat,2,32,H2,Offshore,82,10.5,775.6666667,861,111.0012892
Heat,3,32,H3,Offshore,138.3333333,9.75,1275.666667,1348.75,105.7290305
Heat,4,32,H2,Offshore,151.6666667,9.5,1429,1440.833333,100.8280849
Control,1,34,C1,Offshore,195,10,1059,1950,184.1359773
Control,2,34,C2,Offshore,163.25,10,1279,1632.5,127.6387803
Control,3,34,C3,Offshore,141.6666667,9,1065.666667,1275,119.6434157
Heat,1,34,H1,Offshore,135,10.5,992.3333333,1417.5,142.8451461
Heat,2,34,H2,Offshore,160,10,1162.333333,1600,137.654144
Heat,3,34,H3,Offshore,113.25,10.25,1383.666667,1160.8125,83.8939412
Control,1,38,C1,Offshore,181.6666667,10.5,1210.333333,1907.5,157.6012118
Control,2,38,C2,Offshore,213.3333333,10.5,1468,2240,152.5885559
Control,3,38,C3,Offshore,160,11.5,1775.666667,1840,103.6230524
Heat,1,38,H1,Offshore,108.3333333,9.5,1455.666667,1029.166667,70.70070987
Heat,2,38,H2,Offshore,145,11.5,1375.666667,1667.5,121.2139569
Heat,3,38,H3,Offshore,181.6666667,10.75,1069,1952.916667,182.6863112
Control,1,39,C1,Offshore,85.75,10.5,920.3333333,900.375,97.83140167
Control,2,39,C2,Offshore,135,10.5,1522.333333,1417.5,93.11364134
Control,3,39,C3,Offshore,79.5,10.5,812.3333333,834.75,102.7595404
Heat,1,39,H1,Offshore,99.5,10.5,2261.333333,1044.75,46.2006191
Heat,2,39,H2,Offshore,75.75,10,835.6666667,757.5,90.64619066
Heat,3,39,H3,Offshore,160,11,1992.333333,1760,88.33863144
Control,1,46,C1,Offshore,157,10.75,1199,1687.75,140.7631359
Control,2,46,C2,Offshore,255,10.5,2385.666667,2677.5,112.2327791
Control,3,46,C3,Offshore,148.25,9.5,1389,1408.375,101.3948884
Heat,1,46,H1,Offshore,151.6666667,10.5,2192.333333,1592.5,72.63950129
Heat,2,46,H2,Offshore,183.3333333,10,2325.666667,1833.333333,78.83044287
Heat,3,46,H3,Offshore,203.25,9.5,2421.333333,1930.875,79.74428689