Trmt,Fam,Origin,Rep,Conc,Vol,Total,Nlar,PrPerLar
DR,5,Inshore,1,222.25,129.8,28.84805,10,2.884805
DR,20,Inshore,1,224.75,129.5,29.105125,10,2.9105125
DR,11,Inshore,1,213.5,130.2,27.7977,10,2.77977
DR,19,Inshore,1,217.25,125,27.15625,10,2.715625
DR,17,Inshore,1,213.5,125,26.6875,10,2.66875
DR,34,Offshore,1,362.25,144,52.164,10,5.2164
DR,39,Offshore,1,147.25,133.1,19.598975,10,1.9598975
DR,38,Offshore,1,162.25,139.5,22.633875,10,2.2633875
DR,32,Offshore,1,177.25,140.6,24.92135,10,2.492135
DR,46,Offshore,1,237.25,140.4,33.3099,10,3.33099
Control,5,Inshore,1,157.25,128.8,20.2538,10,2.02538
Heat,5,Inshore,1,148.5,131.1,19.46835,9,2.16315
Control,20,Inshore,1,184.75,137.4,25.38465,10,2.538465
Heat,20,Inshore,1,159.75,137.6,21.9816,10,2.19816
Control,11,Inshore,1,193.5,135.6,26.2386,10,2.62386
Heat,11,Inshore,1,202.25,159.4,32.23865,11,2.930786364
Control,19,Inshore,1,198.5,131.1,26.02335,10,2.602335
Heat,19,Inshore,1,194.75,133.5,25.999125,10,2.5999125
Control,17,Inshore,1,176,138.3,24.3408,10,2.43408
Heat,17,Inshore,1,186,138.3,25.7238,10,2.57238
Control,34,Offshore,1,321,141.1,45.2931,10,4.52931
Heat,34,Offshore,1,357.25,141.2,50.4437,10,5.04437
Control,39,Offshore,1,121,138.8,16.7948,10,1.67948
Heat,39,Offshore,1,128.5,140,17.99,10,1.799
Control,38,Offshore,1,139.75,138.5,19.355375,10,1.9355375
Heat,38,Offshore,1,109.75,131.2,14.3992,10,1.43992
Control,32,Offshore,1,127.25,137.4,17.48415,9,1.942683333
Heat,32,Offshore,2,143.5,140.3,20.13305,10,2.013305
Control,46,Offshore,1,153.5,140.3,21.53605,9,2.392894444
Heat,46,Offshore,1,176,135.4,23.8304,10,2.38304
DR,5,Inshore,2,230.25,143.6,33.0639,10,3.30639
DR,20,Inshore,2,211.5,137.8,29.1447,10,2.91447
DR,11,Inshore,2,245.25,136.4,33.4521,10,3.34521
DR,19,Inshore,2,241.5,137.7,33.25455,10,3.325455
DR,17,Inshore,2,221.5,138.2,30.6113,10,3.06113
DR,34,Offshore,2,280.25,135.5,37.973875,10,3.7973875
DR,39,Offshore,2,139,144.3,20.0577,10,2.00577
DR,38,Offshore,2,151.5,140.4,21.2706,10,2.12706
DR,32,Offshore,2,166.5,135.5,22.56075,10,2.256075
DR,46,Offshore,2,220.25,137.2,30.2183,10,3.02183
Control,5,Inshore,2,197.75,138.2,27.32905,10,2.732905
Heat,5,Inshore,2,169,142.6,24.0994,10,2.40994
Control,20,Inshore,2,177.75,140,24.885,10,2.4885
Heat,20,Inshore,2,154,140,21.56,10,2.156
Control,11,Inshore,2,157.75,138.3,21.816825,10,2.1816825
Heat,11,Inshore,2,231.5,137,31.7155,10,3.17155
Control,19,Inshore,2,192.75,139.4,26.86935,10,2.686935
Heat,19,Inshore,2,196.5,135.4,26.6061,10,2.66061
Control,17,Inshore,2,136.5,126.3,17.23995,6,2.873325
Heat,17,Inshore,2,164,135.8,22.2712,10,2.22712
Control,34,Offshore,2,296.5,138.8,41.1542,10,4.11542
Heat,34,Offshore,2,296.5,131.4,38.9601,10,3.89601
Control,39,Offshore,2,117.75,138.7,16.331925,10,1.6331925
Heat,39,Offshore,2,139,153.9,21.3921,10,2.13921
Control,38,Offshore,2,132.75,137.7,18.279675,10,1.8279675
Heat,38,Offshore,2,112.75,132.5,14.939375,10,1.4939375
Control,32,Offshore,2,169,131,22.139,10,2.2139
Heat,32,Offshore,1,139,137.5,19.1125,10,1.91125
Control,46,Offshore,2,164,149,24.436,10,2.4436
Heat,46,Offshore,2,181.5,140,25.41,10,2.541
DR,5,Inshore,3,426,125,53.25,10,5.325
DR,20,Inshore,3,242.6666667,137.8,33.43946667,10,3.343946667
DR,11,Inshore,3,299.3333333,140,41.90666667,10,4.190666667
DR,19,Inshore,3,326,134.8,43.9448,10,4.39448
DR,17,Inshore,3,261,143.1,37.3491,10,3.73491
DR,34,Offshore,3,456,142.2,64.8432,10,6.48432
DR,39,Offshore,3,224.3333333,136.2,30.5542,10,3.05542
DR,38,Offshore,3,237.6666667,141.6,33.6536,10,3.36536
DR,32,Offshore,3,241,136.5,32.8965,10,3.28965
DR,46,Offshore,3,289.3333333,137.6,39.81226667,10,3.981226667
Control,5,Inshore,3,257.6666667,135.5,34.91383333,10,3.491383333
Heat,5,Inshore,3,214.3333333,137.6,29.49226667,10,2.949226667
Control,20,Inshore,3,221,132.6,29.3046,6,4.8841
Heat,20,Inshore,3,189.3333333,142.1,26.90426667,10,2.690426667
Control,11,Inshore,3,241,146.5,35.3065,10,3.53065
Heat,11,Inshore,3,266,140.8,37.4528,10,3.74528
Control,19,Inshore,3,209.3333333,135.2,28.30186667,10,2.830186667
Heat,19,Inshore,3,217.6666667,142.2,30.9522,10,3.09522
Control,17,Inshore,3,226,135.5,30.623,10,3.0623
Heat,17,Inshore,3,212.6666667,139,29.56066667,10,2.956066667
Control,34,Offshore,3,382.6666667,131.4,50.2824,10,5.02824
Heat,34,Offshore,3,436,141.6,61.7376,10,6.17376
Control,39,Offshore,3,184.3333333,146.2,26.94953333,10,2.694953333
Heat,39,Offshore,3,191,138.3,26.4153,9,2.935033333
Control,38,Offshore,3,162.6666667,138.2,22.48053333,10,2.248053333
Heat,38,Offshore,3,157.6666667,132.6,20.9066,10,2.09066
Control,32,Offshore,3,207.6666667,132.2,27.45353333,10,2.745353333
Heat,32,Offshore,3,181,140.4,25.4124,10,2.54124
Control,46,Offshore,3,232.6666667,142.2,33.0852,10,3.30852
Heat,46,Offshore,3,186,139.6,25.9656,10,2.59656